全量更新,#genre#
CCTV-1综合,http://218.1.138.207:4022/rtp/233.18.204.52:5140$上海电信
CCTV-2财经,http://218.1.138.207:4022/rtp/233.18.204.68:5140$上海电信
CCTV-3综艺,http://218.1.138.207:4022/rtp/233.18.204.69:5140$上海电信
CCTV-4中文国际,http://218.1.138.207:4022/rtp/233.18.204.70:5140$上海电信
CCTV-5体育,http://218.1.138.207:4022/rtp/233.18.204.71:5140$上海电信
CCTV-5+体育赛事,http://218.1.138.207:4022/rtp/233.18.204.67:5140$上海电信
CCTV-6电影,http://218.1.138.207:4022/rtp/233.18.204.72:5140$上海电信
CCTV-7国防军事,http://218.1.138.207:4022/rtp/233.18.204.73:5140$上海电信
CCTV-8电视剧,http://218.1.138.207:4022/rtp/233.18.204.74:5140$上海电信
CCTV-9纪录,http://218.1.138.207:4022/rtp/233.18.204.75:5140$上海电信
CCTV-10科教,http://218.1.138.207:4022/rtp/233.18.204.76:5140$上海电信
CCTV-11戏曲,http://218.1.138.207:4022/rtp/233.18.204.77:5140$上海电信
CCTV-12社会与法,http://218.1.138.207:4022/rtp/233.18.204.78:5140$上海电信
CCTV-13新闻,http://218.1.138.207:4022/rtp/233.18.204.79:5140$上海电信
CCTV-14少儿,http://218.1.138.207:4022/rtp/233.18.204.80:5140$上海电信
CCTV-15音乐,http://218.1.138.207:4022/rtp/233.18.204.81:5140$上海电信
CCTV-16奥林匹克,http://218.1.138.207:4022/rtp/233.18.204.82:5140$上海电信
CCTV-17农业农村,http://218.1.138.207:4022/rtp/233.18.204.83:5140$上海电信
CCTV-16奥林匹克4K,http://218.1.138.207:4022/rtp/233.18.204.114:5140$上海电信
CCTV-1综合,http://218.1.138.207:4022/rtp/233.18.204.168:5140$上海电信
CCTV-4K,http://218.1.138.207:4022/rtp/233.18.204.188:5140$上海电信
CCTV-4K,http://218.1.138.207:4022/rtp/233.18.204.204:5140$上海电信
CGTN,http://218.1.138.207:4022/rtp/233.18.204.28:5140$上海电信
中国教育1台,http://218.1.138.207:4022/rtp/233.18.204.98:5140$上海电信
中国教育1台,http://218.1.138.207:4022/rtp/233.18.204.153:5140$上海电信
中国教育2台,http://218.1.138.207:4022/rtp/233.18.204.154:5140$上海电信
中国教育4台,http://218.1.138.207:4022/rtp/233.18.204.111:5140$上海电信
早期教育,http://218.1.138.207:4022/rtp/233.18.204.187:5140$上海电信
CCTV-2财经,http://218.1.138.207:4022/rtp/239.45.0.1:5140$上海电信
CCTV-4中文国际,http://218.1.138.207:4022/rtp/239.45.0.2:5140$上海电信
CCTV-16奥林匹克,http://218.1.138.207:4022/rtp/239.45.0.10:5140$上海电信
CCTV-16奥林匹克4K,http://218.1.138.207:4022/rtp/239.45.0.12:5140$上海电信
CCTV-11戏曲,http://218.1.138.207:4022/rtp/239.45.0.18:5140$上海电信
CCTV-13新闻,http://218.1.138.207:4022/rtp/239.45.0.19:5140$上海电信
CCTV-15音乐,http://218.1.138.207:4022/rtp/239.45.0.20:5140$上海电信
中国教育4台,http://218.1.138.207:4022/rtp/239.45.0.21:5140$上海电信
CCTV-5+体育赛事,http://218.1.138.207:4022/rtp/239.45.0.34:5140$上海电信
早期教育,http://218.1.138.207:4022/rtp/239.45.0.54:5140$上海电信
CCTV-4K,http://218.1.138.207:4022/rtp/239.45.0.55:5140$上海电信
CCTV-4K,http://218.1.138.207:4022/rtp/239.45.1.21:5140$上海电信
中国教育2台,http://218.1.138.207:4022/rtp/239.45.1.52:5140$上海电信
CCTV-3综艺,http://218.1.138.207:4022/rtp/239.45.1.68:5140$上海电信
CCTV-5体育,http://218.1.138.207:4022/rtp/239.45.1.69:5140$上海电信
CCTV-6电影,http://218.1.138.207:4022/rtp/239.45.1.70:5140$上海电信
CCTV-8电视剧,http://218.1.138.207:4022/rtp/239.45.1.71:5140$上海电信
中国教育-1,http://218.1.138.207:4022/rtp/239.45.1.125:5140$上海电信
CGTN,http://218.1.138.207:4022/rtp/239.45.1.194:5140$上海电信
中国教育-4,http://218.1.138.207:4022/rtp/239.45.1.243:5140$上海电信
CCTV-9纪录,http://218.1.138.207:4022/rtp/239.45.3.4:5140$上海电信
CCTV-10科教,http://218.1.138.207:4022/rtp/239.45.3.8:5140$上海电信
CCTV-12社会与法,http://218.1.138.207:4022/rtp/239.45.3.10:5140$上海电信
CCTV-14少儿,http://218.1.138.207:4022/rtp/239.45.3.23:5140$上海电信
CCTV-1综合,http://218.1.138.207:4022/rtp/239.45.3.51:5140$上海电信
CCTV-17农业农村,http://218.1.138.207:4022/rtp/239.45.3.52:5140$上海电信
CCTV-7国防军事,http://218.1.138.207:4022/rtp/239.45.3.56:5140$上海电信
CCTV-1综合,http://218.1.138.207:4022/rtp/239.45.3.88:5140$上海电信
CCTV-12社会与法,http://218.1.138.207:4022/rtp/239.45.3.124:5140$上海电信
CCTV-14少儿,http://218.1.138.207:4022/rtp/239.45.3.125:5140$上海电信
CCTV-15音乐,http://218.1.138.207:4022/rtp/239.45.3.126:5140$上海电信
CCTV-1综合,http://218.1.138.207:4022/rtp/239.45.3.145:5140$上海电信
CCTV-2财经,http://218.1.138.207:4022/rtp/239.45.3.208:5140$上海电信
CCTV-17农业农村,http://218.1.138.207:4022/rtp/239.45.3.251:5140$上海电信
风云足球,http://218.1.138.207:4022/rtp/233.18.204.176:5140$上海电信
央视台球,http://218.1.138.207:4022/rtp/233.18.204.177:5140$上海电信
兵器科技,http://218.1.138.207:4022/rtp/233.18.204.178:5140$上海电信
世界地理,http://218.1.138.207:4022/rtp/233.18.204.179:5140$上海电信
女性时尚,http://218.1.138.207:4022/rtp/233.18.204.180:5140$上海电信
高尔夫·网球,http://218.1.138.207:4022/rtp/233.18.204.181:5140$上海电信
怀旧剧场,http://218.1.138.207:4022/rtp/233.18.204.182:5140$上海电信
风云剧场,http://218.1.138.207:4022/rtp/233.18.204.183:5140$上海电信
第一剧场,http://218.1.138.207:4022/rtp/233.18.204.184:5140$上海电信
风云音乐,http://218.1.138.207:4022/rtp/233.18.204.185:5140$上海电信
央视文化精品,http://218.1.138.207:4022/rtp/233.18.204.186:5140$上海电信
风云足球,http://218.1.138.207:4022/rtp/239.45.0.43:5140$上海电信
央视台球,http://218.1.138.207:4022/rtp/239.45.0.44:5140$上海电信
兵器科技,http://218.1.138.207:4022/rtp/239.45.0.45:5140$上海电信
世界地理,http://218.1.138.207:4022/rtp/239.45.0.46:5140$上海电信
女性时尚,http://218.1.138.207:4022/rtp/239.45.0.47:5140$上海电信
