CCTV-1综合,rtp://239.5.1.4:5000
CCTV-2财经,rtp://239.5.1.5:5000
CCTV-3综艺,rtp://239.5.1.101:5000
CCTV-4中文国际,rtp://239.5.1.6:5000
CCTV-5体育,rtp://239.5.1.102:5000
CCTV-5+体育赛事,rtp://239.5.1.7:5000
CCTV-6电影,rtp://239.5.1.103:5000
CCTV-7国防军事,rtp://239.5.1.8:5000
CCTV-8电视剧,rtp://239.5.1.104:5000
CCTV-9纪录,rtp://239.5.1.9:5000
CCTV-10科教,rtp://239.5.1.10:5000
CCTV-11戏曲,rtp://239.5.1.137:5000
CCTV-12社会与法,rtp://239.5.1.11:5000
CCTV-13新闻,rtp://239.5.1.138:5000
CCTV-14少儿,rtp://239.5.1.12:5000
CCTV-15音乐,rtp://239.5.1.139:5000
CCTV-16奥林匹克,rtp://239.5.1.146:5000
CCTV-17农业农村,rtp://239.5.1.140:5000
CHC家庭影院,rtp://239.5.1.50:5000
CHC影迷电影,rtp://239.5.1.51:5000
CHC动作电影,rtp://239.5.1.52:5000
风云足球,rtp://239.5.1.119:5000
高尔夫·网球,rtp://239.5.1.120:5000
第一剧场,rtp://239.5.1.121:5000
怀旧剧场,rtp://239.5.1.122:5000
风云剧场,rtp://239.5.1.123:5000
世界地理,rtp://239.5.1.124:5000
兵器科技,rtp://239.5.1.125:5000
央视文化精品,rtp://239.5.1.126:5000
女性时尚,rtp://239.5.1.127:5000
风云音乐,rtp://239.5.1.128:5000
电视指南,rtp://239.5.1.129:5000
央视台球,rtp://239.5.1.130:5000
卫生健康,rtp://239.5.1.131:5000
天津卫视,rtp://239.5.1.1:5000
天津新闻,rtp://239.5.1.30:5000
天津文艺,rtp://239.5.1.31:5000
天津影视,rtp://239.5.1.2:5000
天津都市,rtp://239.5.1.27:5000
天津体育,rtp://239.5.1.3:5000
天津教育,rtp://239.5.1.29:5000
天津少儿,rtp://239.5.1.24:5000
天津天视文旅,rtp://239.5.1.116:5000
天津三佳购物,rtp://239.5.1.114:5000
蓟州区,rtp://239.5.1.112:5000
滨海-1SD,rtp://239.5.0.167:5000
滨海-2SD,rtp://239.5.0.168:5000
浙江卫视,rtp://239.5.1.14:5000
北京卫视,rtp://239.5.1.89:5000
湖南卫视,rtp://239.5.1.16:5000
黑龙江卫视,rtp://239.5.1.17:5000
广东卫视,rtp://239.5.1.18:5000
深圳卫视,rtp://239.5.1.19:5000
湖北卫视,rtp://239.5.1.20:5000
山东卫视,rtp://239.5.1.21:5000
四川卫视,rtp://239.5.1.22:5000
江苏卫视,rtp://239.5.1.25:5000
安徽卫视,rtp://239.5.1.26:5000
辽宁卫视,rtp://239.5.1.46:5000
重庆卫视,rtp://239.5.1.47:5000
东方卫视,rtp://239.5.1.81:5000
河北卫视,rtp://239.5.1.82:5000
吉林卫视,rtp://239.5.1.83:5000
江西卫视,rtp://239.5.1.84:5000
贵州卫视,rtp://239.5.1.85:5000
河南卫视,rtp://239.5.1.109:5000
广西卫视,rtp://239.5.1.110:5000
云南卫视,rtp://239.5.0.61:5000
海南卫视,rtp://239.5.1.111:5000
西藏卫视,rtp://239.5.0.51:5000
宁夏卫视,rtp://239.5.0.56:5000
兵团卫视,rtp://239.5.0.57:5000
动漫秀场,rtp://239.5.1.35:5000
游戏风云,rtp://239.5.1.36:5000
欢笑剧场,rtp://239.5.1.39:5000
法治天地,rtp://239.5.1.63:5000
生活时尚,rtp://239.5.1.41:5000
乐游,rtp://239.5.1.42:5000
都市剧场,rtp://239.5.1.43:5000
东方财经,rtp://239.5.1.156:5000
游戏风云,rtp://239.5.1.36:5000
金色学堂,rtp://239.5.1.64:5000
梨园频道,rtp://239.5.1.148:5000
文物宝库,rtp://239.5.1.149:5000
武术世界,rtp://239.5.1.150:5000
金鹰纪实,rtp://239.5.1.23:5000
金鹰卡通,rtp://239.5.1.147:5000
快乐垂钓,rtp://239.5.1.67:5000
茶频道,rtp://239.5.1.68:5000
天津羽球精品赛事,rtp://239.5.1.66:5000
IPTV赛事频道,rtp://239.5.1.48:5000
早期教育,rtp://239.5.1.144:5000
大港油田,rtp://239.5.1.135:5000
北京卡酷少儿,rtp://239.5.0.58:5000
哈哈炫动,rtp://239.5.0.62:5000
新动漫,rtp://239.5.0.109:5000
先锋乒羽,rtp://239.5.0.112:5000
山东教育卫视,rtp://239.5.0.141:5000
汽摩频道,rtp://239.5.0.88:5000
中华美食,rtp://239.5.1.53:5000
天津精彩影视,rtp://239.5.1.40:5000
陶瓷,rtp://239.5.1.45:5000
天津文艺广播,rtp://239.5.0.113:5000
天津经济广播,rtp://239.5.0.114:5000
天津新闻广播,rtp://239.5.0.115:5000
天津生活广播,rtp://239.5.0.116:5000
天津交通广播,rtp://239.5.0.117:5000
天津相声广播,rtp://239.5.0.118:5000
天津小说广播,rtp://239.5.0.119:5000
天津滨海广播,rtp://239.5.0.120:5000
天津音乐广播,rtp://239.5.0.121:5000
天津动听885,rtp://239.5.0.122:5000
