CCTV-1综合,rtp://239.61.4.176:1025
CCTV-2财经,rtp://239.61.5.61:1025
CCTV-3综艺,rtp://239.61.4.120:1025
CCTV-4中文国际,rtp://239.61.5.56:1025
CCTV-5体育,rtp://239.61.4.121:1025
CCTV-5+体育赛事,rtp://239.61.5.58:1025
CCTV-6电影,rtp://239.61.4.122:1025
CCTV-7国防军事,rtp://239.61.5.62:1025
CCTV-8电视剧,rtp://239.61.4.137:1025
CCTV-9纪录,rtp://239.61.5.59:1025
CCTV-10科教,rtp://239.61.5.63:1025
CCTV-11戏曲,rtp://239.61.4.21:1025
CCTV-12社会与法,rtp://239.61.5.64:1025
CCTV-13新闻,rtp://239.61.4.23:1025
CCTV-14少儿,rtp://239.61.5.65:1025
CCTV-15音乐,rtp://239.61.4.25:1025
CCTV-16奥林匹克,rtp://239.61.4.135:1025
CCTV-17农业农村,rtp://239.61.5.158:1025
中央新影-中学生,rtp://239.61.4.188:1025
中央新影-老故事,rtp://239.61.4.200:1025
中央新影-发现之旅,rtp://239.61.4.189:1025
中国教育1台,rtp://239.61.5.53:1025
中国教育2台,rtp://239.61.5.169:1025
中国教育4台,rtp://239.61.5.196:1025
CHC动作电影,rtp://239.61.4.169:1025
东方卫视4K,rtp://239.61.4.215:1025  
江苏卫视4K,rtp://239.61.4.216:1025 
浙江卫视4K,rtp://239.61.4.217:1025 
山东卫视4K,rtp://239.61.4.218:1025 
湖南卫视4K,rtp://239.61.4.219:1025  
四川卫视4K,rtp://239.61.4.220:1025
凤凰卫视,rtp://239.61.5.048:1025
凤凰资讯,rtp://239.61.5.047:1025
北京卫视,rtp://239.61.4.32:1025
兵团卫视,rtp://239.61.5.114:1025
天津卫视,rtp://239.61.5.67:1025
东方卫视,rtp://239.61.4.28:1025
甘肃卫视,rtp://239.61.5.111:1025
广东卫视,rtp://239.61.4.33:1025
海南卫视,rtp://239.61.5.190:1025
海峡卫视,rtp://239.61.5.45:1025
河北卫视,rtp://239.61.4.59:1025
河南卫视,rtp://239.61.4.61:1025
黑龙江卫视,rtp://239.61.4.34:1025
湖北卫视,rtp://239.61.4.36:1025
湖南卫视,rtp://239.61.4.31:1025
广西卫视,rtp://239.61.4.50:1025
贵州卫视,rtp://239.61.5.46:1025
东南卫视,rtp://239.61.4.114:1025
江苏卫视,rtp://239.61.4.30:1025
江西卫视,rtp://239.61.5.69:1025
辽宁卫视,rtp://239.61.5.68:1025
南方卫视,rtp://239.61.5.170:1025
厦门卫视,rtp://239.61.4.11:1025
山东卫视,rtp://239.61.4.37:1025
山西卫视,rtp://239.61.5.110:1025
陕西卫视,rtp://239.61.4.40:1025
深圳卫视,rtp://239.61.4.134:1025
四川卫视,rtp://239.61.5.160:1025
吉林卫视,rtp://239.61.5.109:1025
宁夏卫视,rtp://239.61.4.58:1025
青海卫视,rtp://239.61.4.62:1025
浙江卫视,rtp://239.61.4.29:1025
三沙卫视,rtp://239.61.5.191:1025
内蒙古卫视,rtp://239.61.5.112:1025
新疆卫视,rtp://239.61.5.113:1025
西藏卫视,rtp://239.61.5.115:1025
云南卫视,rtp://239.61.4.63:1025
重庆卫视,rtp://239.61.5.159:1025
安徽卫视,rtp://239.61.5.157:1025
福建电视剧,rtp://239.61.4.5:1025
福建公共,rtp://239.61.4.3:1025
福建教育频道,rtp://239.61.5.60:1025
福建经济生活,rtp://239.61.4.7:1025
福建旅游,rtp://239.61.4.6:1025
福建少儿,rtp://239.61.4.9:1025
福建文体,rtp://239.61.5.044:1025
福建新闻,rtp://239.61.4.4:1025
福建综合,rtp://239.61.4.1:1025
福州新闻,rtp://239.61.5.97:1025
龙岩新闻,rtp://239.61.5.95:1025
南平新闻,rtp://239.61.5.92:1025
宁德新闻,rtp://239.61.5.96:1025
莆田新闻,rtp://239.61.5.94:1025
泉州新闻,rtp://239.61.5.98:1025
融媒体直播,rtp://239.61.4.142:1025
三明慢直播1,rtp://239.61.4.191:1025
三明慢直播2,rtp://239.61.4.192:1025
三明慢直播3,rtp://239.61.4.193:1025
三明新闻,rtp://239.61.5.93:1025
厦门1套,rtp://239.61.5.99:1025
松溪慢直播,rtp://239.61.4.141:1025
福建新闻广播,rtp://239.61.5.154:1025
漳州新闻,rtp://239.61.5.91:1025
睛彩青少年,rtp://239.61.4.208:1025
睛彩竞技,rtp://239.61.4.209:1025
睛彩篮球,rtp://239.61.4.210:1025
睛彩广场舞,rtp://239.61.4.211:1025
爱上4K,rtp://239.61.5.164:1025
百姓健康,rtp://239.61.4.182:1025
财富天下,rtp://239.61.4.186:1025
茶频道,rtp://239.61.4.167:1025
车迷,rtp://239.61.4.178:1025
党建频道,rtp://239.61.5.50:1025
党建频道2,rtp://239.61.5.57:1025
动漫秀场,rtp://239.61.5.32:1025
都市剧场,rtp://239.61.5.33:1025
法治天地,rtp://239.61.4.77:1025
高网频道,rtp://239.61.4.130:1025
股评汇,rtp://239.61.4.94:1025
哈哈炫动,rtp://239.61.4.72:1025
欢笑剧场,rtp://239.61.5.30:1025
环球旅游,rtp://239.61.4.180:1025
纪实频道,rtp://239.61.5.51:1025
家庭理财,rtp://239.61.4.185:1025
嘉佳卡通,rtp://239.61.4.74:1025
交通广播,rtp://239.61.5.155:1025
金色频道,rtp://239.61.4.80:1025
金鹰纪实,rtp://239.61.5.171:1025
金鹰卡通,rtp://239.61.5.107:1025
聚鲨环球精选,rtp://239.61.4.190:1025
卡酷少儿,rtp://239.61.5.108:1025
快乐垂钓,rtp://239.61.5.189:1025
快乐购物,rtp://239.61.5.192:1025
梨园频道,rtp://239.61.4.170:1025
全纪实,rtp://239.61.5.31:1025
生活时尚,rtp://239.61.5.25:1025
四海钓鱼,rtp://239.61.4.183:1025
文物宝库,rtp://239.61.4.171:1025
武术世界,rtp://239.61.4.172:1025
先锋乒羽,rtp://239.61.4.168:1025
新动漫,rtp://239.61.4.173:1025
央广购物,rtp://239.61.5.106:1025
优购物,rtp://239.61.5.131:1025
优优宝贝,rtp://239.61.4.179:1025
游戏风云,rtp://239.61.5.29:1025
中国气象,rtp://239.61.4.66:1025
中华特产,rtp://239.61.4.177:1025
